0.944719 (0.000968) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.942202 (0.008100) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.942858 (0.007643) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.940442 (0.009372) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.940148 (0.008471) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.940205 (0.008667) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.943169 (0.009600) with: {'batch_size': 64, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
0.951728 (0.010577) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 64}
0.948017 (0.008569) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 32}
0.952335 (0.010217) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 16}
0.942401 (0.022965) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 128, 'layer_2': 8}
0.952005 (0.014417) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 64}
0.951642 (0.008187) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 32}
0.940993 (0.025586) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 16}
0.944986 (0.015074) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 64, 'layer_2': 8}
0.953930 (0.010293) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 64}
0.945098 (0.017076) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 32}
0.937167 (0.028257) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 16}
0.939451 (0.027936) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 32, 'layer_2': 8}
0.943373 (0.026092) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 64}
0.954111 (0.008895) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 32}
0.940202 (0.023225) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 16}
0.942972 (0.018131) with: {'batch_size': 128, 'epochs': 50, 'layer_1': 16, 'layer_2': 8}
0.949275 (0.010196) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 64}
0.939083 (0.019166) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 32}
0.947948 (0.018726) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 16}
0.948941 (0.012642) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 128, 'layer_2': 8}
0.943195 (0.010803) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 64}
0.946680 (0.013999) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 32}
0.946041 (0.012801) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 16}
0.939361 (0.023087) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 64, 'layer_2': 8}
0.933296 (0.020506) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 64}
0.931118 (0.018538) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 32}
0.943736 (0.015347) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 16}
0.946054 (0.014968) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 32, 'layer_2': 8}
0.941035 (0.021347) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 64}
0.945194 (0.008182) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 32}
0.946309 (0.011295) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 16}
0.945089 (0.013124) with: {'batch_size': 128, 'epochs': 100, 'layer_1': 16, 'layer_2': 8}
0.941562 (0.008945) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 64}
0.939909 (0.017199) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 32}
0.949365 (0.009519) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 16}
0.947314 (0.011408) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 128, 'layer_2': 8}
0.941018 (0.012823) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 64}
0.945170 (0.006939) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 32}
0.943734 (0.009272) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 16}
0.945125 (0.010816) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 64, 'layer_2': 8}
0.945614 (0.006863) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 64}
0.936875 (0.015129) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 32}
0.944033 (0.008137) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 16}
0.943372 (0.011525) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 32, 'layer_2': 8}
0.946048 (0.007476) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 64}
0.937182 (0.016022) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 32}
0.941007 (0.009893) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 16}
0.947575 (0.004768) with: {'batch_size': 128, 'epochs': 150, 'layer_1': 16, 'layer_2': 8}
0.943413 (0.005512) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 64}
0.942530 (0.007809) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 32}
0.941208 (0.010142) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 16}
0.946935 (0.009971) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 128, 'layer_2': 8}
0.942200 (0.008279) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 64}
0.943633 (0.007649) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 32}
0.946038 (0.003619) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 16}
0.946254 (0.007701) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 64, 'layer_2': 8}
0.938856 (0.009093) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 64}
0.937953 (0.010417) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 32}
0.940355 (0.008275) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 16}
0.944398 (0.004712) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 32, 'layer_2': 8}
0.938030 (0.010228) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 64}
0.941345 (0.005214) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 32}
0.942431 (0.004751) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 16}
0.945582 (0.004276) with: {'batch_size': 128, 'epochs': 200, 'layer_1': 16, 'layer_2': 8}
